img_name,predicted_label,confidence
1387.jpeg,tail_lamp,tensor(0.6284)
1443.jpeg,tail_lamp,tensor(0.6270)
293.jpeg,head_lamp,tensor(0.6268)
1159.jpeg,bumper_dent,tensor(0.6199)
394.jpeg,tail_lamp,tensor(0.6184)
677.jpeg,door_dent,tensor(0.6162)
1461.jpeg,door_dent,tensor(0.6160)
530.jpeg,tail_lamp,tensor(0.6159)
1181.jpeg,door_dent,tensor(0.6144)
35.jpeg,door_dent,tensor(0.6111)
242.jpeg,glass_shatter,tensor(0.6078)
1236.jpeg,glass_shatter,tensor(0.6055)
1117.jpeg,head_lamp,tensor(0.5996)
951.jpeg,door_dent,tensor(0.5952)
1483.jpeg,head_lamp,tensor(0.5894)
1051.jpeg,glass_shatter,tensor(0.5868)
957.jpeg,glass_shatter,tensor(0.5865)
505.jpeg,door_dent,tensor(0.5850)
1211.jpeg,door_dent,tensor(0.5836)
75.jpeg,door_scratch,tensor(0.5832)
1164.jpeg,glass_shatter,tensor(0.5819)
738.jpeg,head_lamp,tensor(0.5817)
604.jpeg,door_dent,tensor(0.5817)
383.jpeg,door_dent,tensor(0.5815)
384.jpeg,head_lamp,tensor(0.5804)
116.jpeg,glass_shatter,tensor(0.5794)
1369.jpeg,door_dent,tensor(0.5782)
40.jpeg,glass_shatter,tensor(0.5770)
1064.jpeg,glass_shatter,tensor(0.5763)
749.jpeg,glass_shatter,tensor(0.5740)
1083.jpeg,tail_lamp,tensor(0.5730)
1479.jpeg,bumper_scratch,tensor(0.5723)
1393.jpeg,door_scratch,tensor(0.5711)
1132.jpeg,head_lamp,tensor(0.5702)
1361.jpeg,bumper_dent,tensor(0.5687)
1121.jpeg,glass_shatter,tensor(0.5685)
503.jpeg,head_lamp,tensor(0.5684)
1207.jpeg,glass_shatter,tensor(0.5679)
568.jpeg,head_lamp,tensor(0.5677)
57.jpeg,door_dent,tensor(0.5664)
331.jpeg,glass_shatter,tensor(0.5663)
1250.jpeg,glass_shatter,tensor(0.5663)
1454.jpeg,door_dent,tensor(0.5639)
1311.jpeg,door_dent,tensor(0.5639)
689.jpeg,head_lamp,tensor(0.5634)
543.jpeg,door_dent,tensor(0.5611)
967.jpeg,door_dent,tensor(0.5578)
1455.jpeg,door_dent,tensor(0.5569)
1168.jpeg,bumper_scratch,tensor(0.5568)
975.jpeg,door_dent,tensor(0.5522)
1167.jpeg,glass_shatter,tensor(0.5511)
337.jpeg,glass_shatter,tensor(0.5501)
981.jpeg,head_lamp,tensor(0.5501)
1428.jpeg,tail_lamp,tensor(0.5492)
637.jpeg,head_lamp,tensor(0.5468)
479.jpeg,door_dent,tensor(0.5463)
636.jpeg,tail_lamp,tensor(0.5453)
610.jpeg,glass_shatter,tensor(0.5446)
229.jpeg,door_dent,tensor(0.5438)
254.jpeg,head_lamp,tensor(0.5415)
81.jpeg,glass_shatter,tensor(0.5389)
585.jpeg,head_lamp,tensor(0.5384)
400.jpeg,bumper_dent,tensor(0.5365)
297.jpeg,glass_shatter,tensor(0.5353)
1142.jpeg,glass_shatter,tensor(0.5337)
690.jpeg,glass_shatter,tensor(0.5311)
1337.jpeg,door_dent,tensor(0.5306)
1094.jpeg,door_scratch,tensor(0.5299)
1421.jpeg,door_dent,tensor(0.5295)
1233.jpeg,door_dent,tensor(0.5276)
339.jpeg,head_lamp,tensor(0.5263)
935.jpeg,head_lamp,tensor(0.5260)
940.jpeg,glass_shatter,tensor(0.5259)
964.jpeg,door_dent,tensor(0.5253)
155.jpeg,door_scratch,tensor(0.5241)
349.jpeg,glass_shatter,tensor(0.5223)
1067.jpeg,glass_shatter,tensor(0.5193)
264.jpeg,glass_shatter,tensor(0.5192)
985.jpeg,glass_shatter,tensor(0.5176)
291.jpeg,head_lamp,tensor(0.5168)
1319.jpeg,door_dent,tensor(0.5153)
1273.jpeg,glass_shatter,tensor(0.5149)
756.jpeg,tail_lamp,tensor(0.5144)
1252.jpeg,glass_shatter,tensor(0.5132)
924.jpeg,glass_shatter,tensor(0.5126)
805.jpeg,door_scratch,tensor(0.5123)
528.jpeg,head_lamp,tensor(0.5068)
1104.jpeg,door_scratch,tensor(0.5065)
382.jpeg,door_scratch,tensor(0.5053)
1363.jpeg,bumper_dent,tensor(0.5024)
664.jpeg,glass_shatter,tensor(0.5013)
768.jpeg,head_lamp,tensor(0.5009)
1053.jpeg,tail_lamp,tensor(0.4993)
978.jpeg,glass_shatter,tensor(0.4992)
1491.jpeg,glass_shatter,tensor(0.4970)
328.jpeg,door_dent,tensor(0.4963)
751.jpeg,glass_shatter,tensor(0.4963)
1467.jpeg,bumper_scratch,tensor(0.4947)
605.jpeg,head_lamp,tensor(0.4946)
1212.jpeg,door_dent,tensor(0.4945)
791.jpeg,door_dent,tensor(0.4937)
74.jpeg,head_lamp,tensor(0.4937)
864.jpeg,head_lamp,tensor(0.4917)
94.jpeg,door_dent,tensor(0.4913)
660.jpeg,glass_shatter,tensor(0.4904)
922.jpeg,bumper_scratch,tensor(0.4880)
1257.jpeg,door_scratch,tensor(0.4879)
886.jpeg,glass_shatter,tensor(0.4875)
990.jpeg,glass_shatter,tensor(0.4870)
1426.jpeg,head_lamp,tensor(0.4861)
970.jpeg,glass_shatter,tensor(0.4847)
613.jpeg,door_dent,tensor(0.4843)
333.jpeg,head_lamp,tensor(0.4834)
912.jpeg,glass_shatter,tensor(0.4823)
1264.jpeg,door_dent,tensor(0.4814)
1322.jpeg,door_dent,tensor(0.4814)
357.jpeg,glass_shatter,tensor(0.4805)
1464.jpeg,head_lamp,tensor(0.4802)
710.jpeg,glass_shatter,tensor(0.4802)
646.jpeg,bumper_scratch,tensor(0.4796)
1265.jpeg,bumper_scratch,tensor(0.4796)
500.jpeg,door_dent,tensor(0.4791)
238.jpeg,head_lamp,tensor(0.4780)
1056.jpeg,door_dent,tensor(0.4773)
344.jpeg,door_dent,tensor(0.4773)
300.jpeg,door_dent,tensor(0.4772)
1440.jpeg,door_dent,tensor(0.4771)
1040.jpeg,tail_lamp,tensor(0.4769)
432.jpeg,head_lamp,tensor(0.4761)
871.jpeg,door_dent,tensor(0.4758)
15.jpeg,glass_shatter,tensor(0.4750)
1078.jpeg,door_scratch,tensor(0.4728)
1193.jpeg,glass_shatter,tensor(0.4715)
824.jpeg,door_dent,tensor(0.4710)
544.jpeg,door_dent,tensor(0.4694)
806.jpeg,bumper_dent,tensor(0.4693)
91.jpeg,door_dent,tensor(0.4684)
1118.jpeg,bumper_dent,tensor(0.4670)
763.jpeg,glass_shatter,tensor(0.4657)
1489.jpeg,glass_shatter,tensor(0.4654)
628.jpeg,tail_lamp,tensor(0.4642)
252.jpeg,door_dent,tensor(0.4639)
1016.jpeg,door_dent,tensor(0.4622)
1474.jpeg,glass_shatter,tensor(0.4616)
215.jpeg,glass_shatter,tensor(0.4587)
878.jpeg,head_lamp,tensor(0.4577)
851.jpeg,glass_shatter,tensor(0.4576)
1407.jpeg,glass_shatter,tensor(0.4552)
938.jpeg,door_dent,tensor(0.4551)
679.jpeg,door_dent,tensor(0.4550)
709.jpeg,door_dent,tensor(0.4546)
918.jpeg,door_dent,tensor(0.4530)
1441.jpeg,head_lamp,tensor(0.4513)
822.jpeg,bumper_dent,tensor(0.4508)
99.jpeg,bumper_dent,tensor(0.4497)
255.jpeg,head_lamp,tensor(0.4459)
82.jpeg,door_dent,tensor(0.4445)
1046.jpeg,door_dent,tensor(0.4440)
1246.jpeg,door_scratch,tensor(0.4428)
511.jpeg,door_scratch,tensor(0.4420)
1354.jpeg,door_dent,tensor(0.4417)
1471.jpeg,door_scratch,tensor(0.4393)
76.jpeg,glass_shatter,tensor(0.4370)
826.jpeg,door_scratch,tensor(0.4366)
101.jpeg,door_scratch,tensor(0.4366)
1382.jpeg,head_lamp,tensor(0.4355)
1388.jpeg,door_dent,tensor(0.4351)
243.jpeg,glass_shatter,tensor(0.4345)
1296.jpeg,glass_shatter,tensor(0.4342)
211.jpeg,glass_shatter,tensor(0.4340)
1293.jpeg,glass_shatter,tensor(0.4334)
1037.jpeg,glass_shatter,tensor(0.4328)
120.jpeg,door_dent,tensor(0.4326)
625.jpeg,door_dent,tensor(0.4322)
1409.jpeg,door_scratch,tensor(0.4311)
999.jpeg,door_dent,tensor(0.4288)
793.jpeg,head_lamp,tensor(0.4281)
1183.jpeg,door_dent,tensor(0.4277)
225.jpeg,glass_shatter,tensor(0.4274)
1208.jpeg,glass_shatter,tensor(0.4274)
315.jpeg,door_dent,tensor(0.4273)
472.jpeg,glass_shatter,tensor(0.4249)
545.jpeg,bumper_scratch,tensor(0.4244)
752.jpeg,tail_lamp,tensor(0.4229)
224.jpeg,door_dent,tensor(0.4223)
399.jpeg,head_lamp,tensor(0.4216)
19.jpeg,bumper_dent,tensor(0.4208)
1480.jpeg,head_lamp,tensor(0.4201)
1077.jpeg,head_lamp,tensor(0.4201)
655.jpeg,door_dent,tensor(0.4201)
1232.jpeg,door_scratch,tensor(0.4181)
616.jpeg,door_dent,tensor(0.4179)
1184.jpeg,door_dent,tensor(0.4175)
313.jpeg,head_lamp,tensor(0.4174)
880.jpeg,door_dent,tensor(0.4164)
5.jpeg,door_scratch,tensor(0.4149)
246.jpeg,glass_shatter,tensor(0.4147)
602.jpeg,bumper_scratch,tensor(0.4135)
1202.jpeg,door_dent,tensor(0.4132)
1302.jpeg,bumper_scratch,tensor(0.4128)
380.jpeg,door_dent,tensor(0.4118)
7.jpeg,door_dent,tensor(0.4097)
1112.jpeg,door_dent,tensor(0.4083)
474.jpeg,bumper_scratch,tensor(0.4080)
1470.jpeg,bumper_dent,tensor(0.4079)
546.jpeg,head_lamp,tensor(0.4077)
298.jpeg,door_dent,tensor(0.4077)
808.jpeg,door_dent,tensor(0.4073)
750.jpeg,tail_lamp,tensor(0.4072)
539.jpeg,door_dent,tensor(0.4059)
741.jpeg,door_dent,tensor(0.4050)
838.jpeg,glass_shatter,tensor(0.4049)
1130.jpeg,head_lamp,tensor(0.4041)
53.jpeg,head_lamp,tensor(0.4039)
205.jpeg,door_dent,tensor(0.4015)
132.jpeg,door_dent,tensor(0.4008)
127.jpeg,tail_lamp,tensor(0.4005)
182.jpeg,door_scratch,tensor(0.3997)
1390.jpeg,glass_shatter,tensor(0.3995)
33.jpeg,glass_shatter,tensor(0.3992)
713.jpeg,head_lamp,tensor(0.3985)
910.jpeg,bumper_scratch,tensor(0.3985)
442.jpeg,door_scratch,tensor(0.3981)
1486.jpeg,head_lamp,tensor(0.3980)
757.jpeg,bumper_scratch,tensor(0.3974)
606.jpeg,door_dent,tensor(0.3968)
1108.jpeg,door_dent,tensor(0.3955)
465.jpeg,tail_lamp,tensor(0.3953)
963.jpeg,door_scratch,tensor(0.3945)
1507.jpeg,door_dent,tensor(0.3943)
1280.jpeg,door_dent,tensor(0.3930)
170.jpeg,head_lamp,tensor(0.3877)
69.jpeg,head_lamp,tensor(0.3862)
228.jpeg,tail_lamp,tensor(0.3858)
1210.jpeg,glass_shatter,tensor(0.3857)
1344.jpeg,door_scratch,tensor(0.3852)
980.jpeg,door_dent,tensor(0.3849)
855.jpeg,door_scratch,tensor(0.3826)
149.jpeg,door_dent,tensor(0.3807)
584.jpeg,glass_shatter,tensor(0.3800)
1080.jpeg,door_scratch,tensor(0.3796)
1188.jpeg,glass_shatter,tensor(0.3791)
676.jpeg,door_dent,tensor(0.3786)
348.jpeg,bumper_scratch,tensor(0.3782)
1330.jpeg,door_dent,tensor(0.3757)
1054.jpeg,tail_lamp,tensor(0.3751)
190.jpeg,door_dent,tensor(0.3750)
294.jpeg,door_dent,tensor(0.3737)
732.jpeg,door_dent,tensor(0.3718)
746.jpeg,door_scratch,tensor(0.3709)
356.jpeg,door_scratch,tensor(0.3708)
131.jpeg,glass_shatter,tensor(0.3690)
227.jpeg,door_dent,tensor(0.3686)
600.jpeg,door_dent,tensor(0.3674)
755.jpeg,bumper_scratch,tensor(0.3659)
1496.jpeg,door_dent,tensor(0.3646)
271.jpeg,bumper_dent,tensor(0.3638)
416.jpeg,head_lamp,tensor(0.3633)
841.jpeg,head_lamp,tensor(0.3625)
523.jpeg,head_lamp,tensor(0.3622)
336.jpeg,door_dent,tensor(0.3622)
638.jpeg,glass_shatter,tensor(0.3614)
452.jpeg,door_dent,tensor(0.3613)
653.jpeg,bumper_scratch,tensor(0.3611)
355.jpeg,door_dent,tensor(0.3610)
270.jpeg,head_lamp,tensor(0.3608)
1030.jpeg,door_dent,tensor(0.3606)
84.jpeg,door_scratch,tensor(0.3591)
919.jpeg,head_lamp,tensor(0.3584)
852.jpeg,glass_shatter,tensor(0.3583)
1412.jpeg,door_dent,tensor(0.3579)
931.jpeg,door_dent,tensor(0.3577)
1368.jpeg,door_scratch,tensor(0.3576)
1076.jpeg,head_lamp,tensor(0.3575)
31.jpeg,glass_shatter,tensor(0.3574)
345.jpeg,door_dent,tensor(0.3572)
936.jpeg,door_dent,tensor(0.3572)
402.jpeg,door_dent,tensor(0.3570)
43.jpeg,door_dent,tensor(0.3569)
502.jpeg,door_dent,tensor(0.3569)
1328.jpeg,door_dent,tensor(0.3555)
949.jpeg,bumper_dent,tensor(0.3555)
38.jpeg,door_dent,tensor(0.3551)
423.jpeg,bumper_scratch,tensor(0.3549)
1371.jpeg,head_lamp,tensor(0.3543)
495.jpeg,tail_lamp,tensor(0.3532)
571.jpeg,bumper_scratch,tensor(0.3528)
262.jpeg,tail_lamp,tensor(0.3521)
312.jpeg,door_dent,tensor(0.3520)
557.jpeg,door_scratch,tensor(0.3519)
771.jpeg,head_lamp,tensor(0.3516)
1398.jpeg,door_dent,tensor(0.3514)
126.jpeg,bumper_dent,tensor(0.3499)
257.jpeg,door_scratch,tensor(0.3498)
1160.jpeg,door_dent,tensor(0.3490)
330.jpeg,door_dent,tensor(0.3490)
1270.jpeg,door_dent,tensor(0.3483)
54.jpeg,door_dent,tensor(0.3467)
877.jpeg,door_scratch,tensor(0.3462)
803.jpeg,door_dent,tensor(0.3451)
830.jpeg,head_lamp,tensor(0.3451)
130.jpeg,door_dent,tensor(0.3434)
620.jpeg,door_scratch,tensor(0.3433)
287.jpeg,head_lamp,tensor(0.3431)
1143.jpeg,head_lamp,tensor(0.3431)
0.jpeg,glass_shatter,tensor(0.3430)
447.jpeg,bumper_dent,tensor(0.3429)
973.jpeg,door_dent,tensor(0.3427)
381.jpeg,bumper_dent,tensor(0.3425)
478.jpeg,door_scratch,tensor(0.3408)
908.jpeg,tail_lamp,tensor(0.3408)
1149.jpeg,door_dent,tensor(0.3401)
428.jpeg,head_lamp,tensor(0.3399)
258.jpeg,door_dent,tensor(0.3389)
216.jpeg,glass_shatter,tensor(0.3387)
1178.jpeg,glass_shatter,tensor(0.3386)
80.jpeg,door_dent,tensor(0.3380)
1239.jpeg,door_dent,tensor(0.3376)
322.jpeg,tail_lamp,tensor(0.3372)
927.jpeg,door_scratch,tensor(0.3362)
177.jpeg,head_lamp,tensor(0.3357)
715.jpeg,glass_shatter,tensor(0.3351)
992.jpeg,glass_shatter,tensor(0.3334)
405.jpeg,door_dent,tensor(0.3317)
443.jpeg,door_scratch,tensor(0.3309)
113.jpeg,head_lamp,tensor(0.3306)
684.jpeg,door_scratch,tensor(0.3306)
1170.jpeg,door_dent,tensor(0.3268)
971.jpeg,head_lamp,tensor(0.3261)
685.jpeg,door_dent,tensor(0.3259)
1295.jpeg,head_lamp,tensor(0.3245)
1031.jpeg,head_lamp,tensor(0.3238)
615.jpeg,door_dent,tensor(0.3230)
556.jpeg,glass_shatter,tensor(0.3224)
917.jpeg,bumper_scratch,tensor(0.3219)
272.jpeg,bumper_scratch,tensor(0.3219)
1334.jpeg,head_lamp,tensor(0.3216)
1420.jpeg,glass_shatter,tensor(0.3204)
366.jpeg,bumper_dent,tensor(0.3202)
1433.jpeg,bumper_scratch,tensor(0.3201)
1157.jpeg,door_scratch,tensor(0.3197)
722.jpeg,door_dent,tensor(0.3195)
440.jpeg,head_lamp,tensor(0.3188)
343.jpeg,glass_shatter,tensor(0.3185)
134.jpeg,head_lamp,tensor(0.3181)
798.jpeg,head_lamp,tensor(0.3174)
1237.jpeg,glass_shatter,tensor(0.3167)
37.jpeg,glass_shatter,tensor(0.3148)
119.jpeg,door_scratch,tensor(0.3146)
717.jpeg,door_dent,tensor(0.3138)
1263.jpeg,head_lamp,tensor(0.3132)
1206.jpeg,bumper_dent,tensor(0.3118)
1268.jpeg,head_lamp,tensor(0.3114)
1403.jpeg,door_dent,tensor(0.3111)
1215.jpeg,bumper_scratch,tensor(0.3105)
913.jpeg,door_scratch,tensor(0.3103)
1357.jpeg,glass_shatter,tensor(0.3100)
79.jpeg,door_dent,tensor(0.3100)
1477.jpeg,door_dent,tensor(0.3096)
1194.jpeg,bumper_scratch,tensor(0.3095)
1124.jpeg,head_lamp,tensor(0.3079)
743.jpeg,glass_shatter,tensor(0.3065)
929.jpeg,bumper_scratch,tensor(0.3062)
128.jpeg,glass_shatter,tensor(0.3058)
1488.jpeg,bumper_scratch,tensor(0.3044)
1278.jpeg,door_dent,tensor(0.3022)
839.jpeg,bumper_dent,tensor(0.3016)
1061.jpeg,glass_shatter,tensor(0.3013)
658.jpeg,door_dent,tensor(0.3012)
1286.jpeg,bumper_scratch,tensor(0.3011)
198.jpeg,glass_shatter,tensor(0.3011)
1182.jpeg,head_lamp,tensor(0.3005)
549.jpeg,head_lamp,tensor(0.2997)
1282.jpeg,bumper_scratch,tensor(0.2996)
1410.jpeg,glass_shatter,tensor(0.2990)
107.jpeg,head_lamp,tensor(0.2988)
1404.jpeg,door_dent,tensor(0.2987)
230.jpeg,door_dent,tensor(0.2980)
61.jpeg,head_lamp,tensor(0.2960)
599.jpeg,glass_shatter,tensor(0.2955)
268.jpeg,door_scratch,tensor(0.2944)
1052.jpeg,tail_lamp,tensor(0.2922)
1487.jpeg,door_dent,tensor(0.2920)
1115.jpeg,door_dent,tensor(0.2920)
433.jpeg,door_dent,tensor(0.2913)
954.jpeg,glass_shatter,tensor(0.2913)
123.jpeg,glass_shatter,tensor(0.2911)
1375.jpeg,glass_shatter,tensor(0.2901)
1342.jpeg,head_lamp,tensor(0.2894)
853.jpeg,glass_shatter,tensor(0.2879)
1096.jpeg,door_dent,tensor(0.2879)
1288.jpeg,head_lamp,tensor(0.2877)
1509.jpeg,glass_shatter,tensor(0.2875)
1169.jpeg,door_dent,tensor(0.2872)
700.jpeg,door_dent,tensor(0.2871)
939.jpeg,door_dent,tensor(0.2869)
597.jpeg,glass_shatter,tensor(0.2855)
1505.jpeg,glass_shatter,tensor(0.2854)
1492.jpeg,door_dent,tensor(0.2852)
1422.jpeg,door_scratch,tensor(0.2849)
412.jpeg,tail_lamp,tensor(0.2846)
1417.jpeg,door_scratch,tensor(0.2834)
1003.jpeg,head_lamp,tensor(0.2831)
1218.jpeg,head_lamp,tensor(0.2819)
138.jpeg,door_dent,tensor(0.2805)
937.jpeg,glass_shatter,tensor(0.2793)
661.jpeg,tail_lamp,tensor(0.2792)
1102.jpeg,door_scratch,tensor(0.2790)
240.jpeg,door_scratch,tensor(0.2784)
772.jpeg,door_dent,tensor(0.2766)
199.jpeg,glass_shatter,tensor(0.2760)
930.jpeg,bumper_scratch,tensor(0.2738)
342.jpeg,door_scratch,tensor(0.2729)
796.jpeg,door_dent,tensor(0.2725)
819.jpeg,door_scratch,tensor(0.2720)
538.jpeg,tail_lamp,tensor(0.2682)
928.jpeg,door_dent,tensor(0.2682)
269.jpeg,door_dent,tensor(0.2680)
265.jpeg,door_scratch,tensor(0.2679)
352.jpeg,door_dent,tensor(0.2672)
326.jpeg,tail_lamp,tensor(0.2663)
1234.jpeg,door_dent,tensor(0.2659)
471.jpeg,door_scratch,tensor(0.2655)
1148.jpeg,tail_lamp,tensor(0.2637)
1299.jpeg,bumper_scratch,tensor(0.2609)
665.jpeg,door_scratch,tensor(0.2595)
1133.jpeg,door_dent,tensor(0.2556)
362.jpeg,door_dent,tensor(0.2556)
617.jpeg,door_dent,tensor(0.2551)
904.jpeg,door_scratch,tensor(0.2533)
1304.jpeg,bumper_scratch,tensor(0.2525)
4.jpeg,bumper_scratch,tensor(0.2508)
250.jpeg,door_dent,tensor(0.2506)
142.jpeg,door_scratch,tensor(0.2506)
972.jpeg,glass_shatter,tensor(0.2497)
25.jpeg,bumper_dent,tensor(0.2464)
180.jpeg,head_lamp,tensor(0.2448)
1376.jpeg,bumper_dent,tensor(0.2442)
1059.jpeg,glass_shatter,tensor(0.2434)
532.jpeg,glass_shatter,tensor(0.2423)
1254.jpeg,glass_shatter,tensor(0.2417)
309.jpeg,glass_shatter,tensor(0.2398)
118.jpeg,glass_shatter,tensor(0.2396)
1294.jpeg,door_dent,tensor(0.2395)
168.jpeg,door_scratch,tensor(0.2361)
1197.jpeg,head_lamp,tensor(0.2360)
1326.jpeg,glass_shatter,tensor(0.2331)
783.jpeg,door_scratch,tensor(0.2322)
191.jpeg,head_lamp,tensor(0.2216)
827.jpeg,head_lamp,tensor(0.2209)
241.jpeg,glass_shatter,tensor(0.2063)
104.jpeg,tail_lamp,tensor(0.2009)
430.jpeg,bumper_scratch,tensor(0.1992)
1321.jpeg,door_dent,tensor(0.1951)
